continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Asia,China,44079,90008,22,24.571,4728,0,1.429,62.535,0.015,0.017,3.285,0,0.001,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91
South America,Colombia,44079,650062,8488,8506,20888,270,303,12775.652,166.814,167.168,410.511,5.306,5.955,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29
Africa,Comoros,44079,448,0,4.429,7,0,0,515.182,0,5.093,8.05,0,0,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32
Africa,Congo,44079,4628,0,92.714,102,0,3.429,838.696,0,16.802,18.485,0,0.621,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57
North America,Costa Rica,44079,45680,1222,1027.857,469,9,8.857,8967.212,239.885,201.773,92.067,1.767,1.739,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
Africa,Cote d'Ivoire,44079,18269,61,67.429,119,0,0.571,692.578,2.313,2.556,4.511,0,0.022,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78
Europe,Croatia,44079,11428,334,268.429,195,1,2.143,2783.74,81.359,65.386,47.5,0.244,0.522,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49
North America,Cuba,44079,4266,52,57.143,100,0,1.143,376.635,4.591,5.045,8.829,0,0.101,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8
North America,Curacao,44079,78,3,3,1,0,0,475.32,18.282,18.282,6.094,0,0,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88
Europe,Cyprus,44079,1498,0,2.429,21,0,0,1710.243,0,2.773,23.975,0,0,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98
Europe,Czech Republic,44079,27249,797,496,429,3,1.429,2544.5,74.424,46.316,40.06,0.28,0.133,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38
Africa,Democratic Republic of Congo,44079,10148,23,22.143,258,0,0.571,113.308,0.257,0.247,2.881,0,0.006,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68
Europe,Denmark,44079,17547,173,121,627,1,0.429,3029.417,29.868,20.89,108.249,0.173,0.074,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9
Africa,Djibouti,44079,5387,0,0.571,60,0,0,5452.418,0,0.578,60.729,0,0,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11
North America,Dominica,44079,20,0,0,0,0,0,277.813,0,0,0,0,0,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75
North America,Dominican Republic,44079,96629,0,462.714,1801,0,21.857,8907.619,0,42.655,166.023,0,2.015,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08
South America,Ecuador,44079,117175,815,719.143,6674,26,24.286,6641.422,46.194,40.761,378.279,1.474,1.377,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01
Africa,Egypt,44079,99582,157,185.286,5495,16,19,973.104,1.534,1.811,53.697,0.156,0.186,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99
North America,El Salvador,44079,26099,99,97.714,752,8,7.143,4023.773,15.263,15.065,115.938,1.233,1.101,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32
Africa,Equatorial Guinea,44079,4972,7,6.286,83,0,0,3543.873,4.989,4.48,59.16,0,0,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74
Africa,Eritrea,44079,330,0,1.857,0,0,0,93.051,0,0.524,0,0,0,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32
