location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Moldova,03-09-2020,37740,1024,9355.564,253.845,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9
South Africa,03-09-2020,630595,14389,10632.422,242.612,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
Canada,03-09-2020,129923,9135,3442.384,242.037,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43
Montserrat,03-09-2020,13,1,2600.52,200.04,4999,,,,,,,,,,,,,74.16
Switzerland,03-09-2020,42655,1726,4928.583,199.431,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78
Argentina,03-09-2020,428226,8971,9474.912,198.492,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
Luxembourg,03-09-2020,6745,124,10775.173,198.091,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25
Honduras,03-09-2020,62526,1924,6312.819,194.253,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27
Guernsey,03-09-2020,252,13,3758.277,193.879,67052,,,,,,,,,,,,,
Romania,03-09-2020,89891,3721,4672.652,193.422,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05
Bosnia and Herzegovina,03-09-2020,20517,627,6253.629,191.111,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4
Portugal,03-09-2020,58633,1827,5750.19,179.175,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05
Iraq,03-09-2020,242284,7201,6023.593,179.029,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6
Montenegro,03-09-2020,5019,104,7991.249,165.589,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88
Dominican Republic,03-09-2020,95627,1765,8815.251,162.704,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08
Kyrgyzstan,03-09-2020,44135,1059,6764.823,162.319,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45
Guatemala,03-09-2020,75664,2790,4223.366,155.73,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3
Puerto Rico,03-09-2020,34003,443,11885.67,154.85,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1
Bermuda,03-09-2020,172,9,2762.032,144.525,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
